date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:54	434622/434622	---M--	200	added ('OK')	image/jpeg	etag:%22572cab95-6a1be%22	http://shop.azelab.com/images/home-4/7.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/7.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:32:56	445432/445432	---M--	200	added ('OK')	image/jpeg	etag:%22572cab91-6cbf8%22	http://shop.azelab.com/images/home-4/3.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/3.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:33:20	642385/642385	---M--	200	added ('OK')	image/jpeg	etag:%22572cac0e-9cd51%22	http://shop.azelab.com/images/home-4/slides/slider_1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/slides/slider_1.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:34:01	444547/444547	---M--	200	added ('OK')	image/jpeg	etag:%22572cab93-6c883%22	http://shop.azelab.com/images/home-4/4.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/4.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:34:03	429633/429633	---M--	200	added ('OK')	image/jpeg	etag:%22572cab93-68e41%22	http://shop.azelab.com/images/home-4/5.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/5.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:34:06	431078/431078	---M--	200	added ('OK')	image/jpeg	etag:%22572cab94-693e6%22	http://shop.azelab.com/images/home-4/6.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/6.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:34:29	427983/427983	---M--	200	added ('OK')	image/jpeg	etag:%22572cab96-687cf%22	http://shop.azelab.com/images/home-4/8.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/8.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:35:11	435427/435427	---M--	200	added ('OK')	image/jpeg	etag:%22572cabfa-6a4e3%22	http://shop.azelab.com/images/home-4/sales-product/1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/sales-product/1.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:35:13	435193/435193	---M--	200	added ('OK')	image/jpeg	etag:%22572cac00-6a3f9%22	http://shop.azelab.com/images/home-4/sales-product/2.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/sales-product/2.jpg	(from http://shop.azelab.com/home-4-electronics.html)
11:35:17	442118/442118	---M--	200	added ('OK')	image/jpeg	etag:%22572cac00-6bf06%22	http://shop.azelab.com/images/home-4/sales-product/3.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/sales-product/3.jpg	(from http://shop.azelab.com/home-4-electronics.html)
